Species,No.,Year,Month,Province,County,District,Longitude,Latitude,Type of conflict (standard),Victem,Number of victems,Number of deaths,URL
Asiatic Black Bear,ABB001,2005,7,四川省,宝兴县,宝兴县中坝乡大渡河造林区,102.824266,30.268984,Attack human,Human,1,,https://www.qingdaonews.com/content/2005-07/27/content_5133660.htm
Asiatic Black Bear,ABB002,2006,9,黑龙江省,汤原县,佳木斯汤原县汤原镇保合村,129.901297,46.753689,Attack human,Human,1,,https://heilongjiang.dbw.cn/system/2006/09/12/050546936.shtml
Asiatic Black Bear,ABB003,2006,6,云南省,德钦县,德钦县霞若乡茨卡通村,99.177378,28.054583,Attack human,Human,1,,https://news.sina.com.cn/c/2006-07-08/015910362512.shtml
Asiatic Black Bear,ABB004,2007,8,黑龙江省,南岔县,伊春市南岔区,129.277972,47.134737,Attack human,Human,2,,https://heilongjiang.dbw.cn/system/2007/08/22/050945124.shtml
Asiatic Black Bear,ABB005,2007,7,黑龙江省,东宁市,东宁县绥阳镇沙洞村,130.754328,44.173531,Attack human,Human,1,,https://heilongjiang.dbw.cn/system/2007/08/01/050916171.shtml
Asiatic Black Bear,ABB006,2008,10,四川省,汉源县,雅安市汉源县汉源站,102.907983,29.236491,Attack human,Human,2,,https://news.sohu.com/20081014/n260022869.shtml
Asiatic Black Bear,ABB007,2008,6,云南省,昌宁县,昌宁县苟街乡岩羊山,99.630225,25.11728,Attack human,Human,1,1,https://news.ifeng.com/c/7fYWRsbLYMn
Asiatic Black Bear,ABB008,2010,6,湖北省,神农架林区,神农架林区徐家庄林场,110.556263,31.559987,Damage beehive,,,,https://news.sohu.com/20100605/n272580771.shtml
Asiatic Black Bear,ABB009,2010,8,陕西省,镇巴县,汉中市镇巴县三元镇,107.724,32.449556,Attack human,Human,1,,http://news.sohu.com/20100825/n274464273.shtml
Asiatic Black Bear,ABB010,2010,8,陕西省,鄠邑区,西安市鄠邑区崂峪镇纸房村,108.52316,33.953417,Attack human,Human,1,,http://news.sohu.com/20100916/n274986251.shtml
Asiatic Black Bear,ABB011,2010,9,四川省,康定市,甘孜州康定县汤金乡青杠山村,102.28272,30.380167,Attack human,Human,1,,https://news.cntv.cn/society/20100923/101019.shtml
Asiatic Black Bear,ABB012,2010,10,四川省,南江县,巴中市南江县上两乡文家梁村二社,106.85197,32.367139,Attack human,Human,2,1,http://news.sohu.com/20101008/n275467075.shtml
Asiatic Black Bear,ABB013,2011,5,黑龙江省,和龙市,延边朝鲜族自治州和龙市青山林场,128.937739,42.39997,Damage beehive,,,,http://www.360doc.com/content/11/0814/21/2454475_140404522.shtml
Asiatic Black Bear,ABB014,2011,7,台湾省,台东县,台东县海端乡一处养蜂场,121.170191,23.115572,Damage beehive,,,,https://www.epochtimes.com/gb/11/7/11/n3312009.htm
Asiatic Black Bear,ABB015,2011,12,台湾省,苗栗县,苗栗县泰安乡一果园,120.964074,24.352991,Damage crops,,,,https://www.epochtimes.com/gb/11/12/22/n3465030.htm
Asiatic Black Bear,ABB016,2012,9,安徽省,休宁县,黄山市休宁县鹤城乡新安源村,117.737,29.663889,Attack human,Human,1,,http://www.ahscb.com.cn/html/2012-09/07/content_100218.htm
Asiatic Black Bear,ABB017,2012,7,陕西省,岚皋县,安康市岚皋县孟石岭镇,109.07275,32.166083,Damage crops,,,,https://www.chinanews.com.cn/mil/2012/07-25/4058427.shtml
Asiatic Black Bear,ABB018,2012,4,陕西省,长安区,西安市长安区五台街办老龙桥村附近大山,108.98441,34.01875,Attack human,Human,1,,https://news.sina.com.cn/c/2012-04-19/025824294400.shtml
Asiatic Black Bear,ABB019,2012,12,云南省,隆阳区,保山隆阳区瓦房乡瓦房村二道桥大脑包山,99.3985,24.124806,Attack human,Human,1,,https://news.sohu.com/20121213/n360286487.shtml
Asiatic Black Bear,ABB020,2013,5,黑龙江省,密山市,密山市兴凯湖乡马家岗村,132.271139,45.461694,Enter human settlements,,,,https://www.163.com/news/article/8TS9O96P00014JB5.html
Asiatic Black Bear,ABB021,2013,11,黑龙江省,穆棱市,牡丹江市穆棱林业局一林场,130.628333,44.958889,Attack human,Human,1,,http://news.sohu.com/20131110/n389868006.shtml
Asiatic Black Bear,ABB022,2013,1,黑龙江省,嘉荫县,伊春市嘉荫县保兴乡连江林场,130.515,45.594028,Attack human,Human,1,1,https://china.huanqiu.com/article/9CaKrnJyOj7
Asiatic Black Bear,ABB023,2013,8,陕西省,长安区,西安市长安区五台街办老龙桥村附近大山,108.97326,34.031314,Attack human,Human,1,,https://news.hsw.cn/system/2013/08/11/051731277.shtml
Asiatic Black Bear,ABB024,2013,1,陕西省,蓝田县,西安市蓝田县小寨镇上岱峪村的后山,109.30097,34.043194,Attack human,Human,1,,https://news.hsw.cn/system/2013/01/22/051592586.shtml
Asiatic Black Bear,ABB025,2013,4,四川省,屏山县,宜宾市屏山县大乘镇沙坪村碉楼社,104.29244,28.753833,Attack human,Human,2,,https://www.chinanews.com.cn/sh/2013/05-01/4778396.shtml
Asiatic Black Bear,ABB026,2014,9,吉林省,安图县,延边朝鲜族自治州安图县永庆乡马鞍山村,128.23075,42.731944,Attack livestock,Cow,1,1,https://video.sina.com.cn/p/news/s/v/2014-09-29/174864126831.html
